annee,texte
"March 15th&nbsp to October 19th&nbsp, 2019","<h4>The National WWII Museum<br>(New&nbsp;Orleans, LA, USA)</h4><strong>“The Art of Guy de Montlaur – In Memory of What I cannot Say”</strong><br>March 15 to October 19, 2019, Louisiana Memorial Pavilion<br>In Memory of the 75th Anniversary of the Normandy Landings<br><br><a class='button' href='/pdf/CatalogueExpoMontlaurNOLAMars2019.pdf'>Download exhibition catalog</a>"
"2019","IESA arts&amp;culture<br>, Paris, “Guy de Montlaur (1918-1977), It was a strange war!”<br>April 1st to 5th, 2019, Campus de l’Innovation Culturelle, 1 cité Griset, 75011 Paris.<br>The exhibition is held during the conference “ Art and War in the history of avant-garde (1909-2019)” organized by IESA arts&amp;culture (Paris) and Paris8 University, “Literature, Histories, Esthetics”"
"2019","The National WWII Museum, La Nouvelle Orléans, Etats-Unis, “In Memory of What I Cannot Say”"
"2018","Institut d'État des Études de l'Art du Ministère de la Culture de la Fédération de Russie (SIAS), Moscou, Russie / Государственный институт искусствознания Министерства культуры РФ (ГИИ)"
"2017","Saint Regis Hotel, Nikolskaya (Moscou, Russie)<br>Exposition organised by Boogie Gallery"
"2017","Restaurant Med' (“Медь”), Tverskaya (Moscou, Russie)<br>Exposition organisée par Boogie Gallery"
"2017","World Art Dubai, Dubai World Trade Centre (Dubai)<br>Exposition organisée par Boogie Gallery"
"2016","Exposition « Soldat et Peintre », Galerie « Exposed », Shabolovka (Moscou, Russie)<br>Exposition organisée par Boogie Gallery"
"2016","Institut français de Russie Moscou, Russie)"
"2016","Union des Salles d'Exposition de Moscou, Galerie « Na Kashirke33 » (Moscou, Russie)"
"2016","Maison Poklewski-Koziell, Musée Régional de Sverdlovsk (Iekaterinbourg, Russie)"
"2016","Centre des Expositions de l'Union des Artistes de Russie (Tcheliabinsk, Russie)"
"2015","Galerie Nationale des Beaux-Arts de Perm (Perm, Russie)"
"2014 - 2015","Pegasus Mémorial Pegasus (Ranville, Calvados, France)"
"2013 - 2014","Château de Montlaur (Hérault, France)"
"2012","Orangerie du château de La Thibaudière (Maine-et-Loire, France)"
"2012","Mémorial Pegasus et bibliothèque de Ranville (Calvados, France)"
"1994","Montgomery Gallery (San Francisco, États-Unis)"
"1994","Ambassade de France (Washington DC, États-Unis)"
"1971","Exposition Galerie Rolf Lutz (Paris, France)"
"1959","Exposition du Comité France-Amérique (Paris, France)"
"1950 - 1958","Salon des Réalités Nouvelles (Paris, France)"
"1951 - 1954","Exposition Galerie Colette Allendy (Paris, France)"
"1951","3e exposition de l'Art club - Hôtel Negresco (Nice, France)"
"1949 - 1950","Salon des Surindépendants (Paris, France)"
"1949","Exposition à la Galerie Lucienne-Léonce Rosenberg (Paris, France)"
"1937","Salon des Artistes Français (Paris, France)"
