Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere
Regarde-moi qui t'aime,3/1/1961,Paris,92,65,toile,huile
13,1/1/1950,Nice ?,31.5,41,Papier,gouache
15,1/1/1950,Nice ?,42,31.5,Papier,gouache
D 35,1/1/1953,Fontainebleau,32.5,25,Papier,gouache
Machine à remonter le temps,10/1/1952,Nice,24,31.5,Papier,gouache
sans titre,1/1/1950,Nice,25.5,34.5,Papier,gouache
Etude pour Nice - Composition,4/1/1950,Nice,31,23,Papier,gouache
4,1/1/1950,,23.5,31.5,Papier,gouache
La lutte de Jacob avec l'Ange,1/1/1959,Paris,27.5,47.5,Papier,gouache
etude 1,,,22,15.5,Papier,gouache
etude 2,,,21.5,16,Papier,gouache
etude 3,,,21.5,15.5,Papier,gouache
Sans titre,1/1/1970,Paris,26,34,papier sur isorel,huile
Chemin vers le silence,1/1/1971,Paris,92,73,toile,huile
L'abbaye de Thelème,8/2/1967,Dinard - Paris,55,38,isorel,huile
Il faut être raisonnable mais pas trop,2/18/1967,Paris,45.5,60.5,toile,huile
"La rivière, à la fin, sut traverser le pont",8/5/1967,Paris,38,65,isorel,huile
C'est ainsi que l'archange tua le dragon,5/28/1967,Paris,24,33,isorel,huile
Attente,5/1/1973,Paris,60,81,toile,huile
Y courir les yeux fermés,4/1/1973,Paris,92.5,60,toile,huile
Sans titre,12/1/1950,Nice,100,65,toile,huile
Un gardien du mystère,7/25/1970,Paris,38,46,papier sur bois,huile
étude encre de chine,1/1/1950,Nice,27,37,papier,encre de chine
étude encre de chine,1/1/1950,Nice,26,21,papier,encre de chine
sans titre,8/1/1952,Nice,31.5,24,papier,gouache
étude,5/1/1954,Fontainebleau,24,31.5,papier,gouache
étude,,,31.5,23.5,papier,gouache
,4/1/1952,Nice,25,32.5,papier,gouache
,11/1/1951,Nice,21,26,papier,gouache
Souvenir d'un meurtre,7/1/1960,,31,21.5,papier sur bois,huile
Le Soleil du Détroit de Messine,1/1/1974,,92,65,toile,huile
Lonesome October,11/1/1968,,65,92,toile,huile
Peinture qui ne plaira qu'à ceux qui la connaîtront déjà,1/1/1973,,55,46,papier sur bois,huile
Sans,7/1/1961,,55,33,isorel,huile
Coucher du Soleil aux derniers jours…,9/1/1936,La Thibaudière,27,35,carton,huile
L'Espérance,1/1/1976,,65,46.40000153,toile,huile
L'autre face de la lune vue en 1966 par…,,Paris,,,,
Peinture ambiguë et figurative de Saint Christophe,1/1/1974,,55,46,papier sur bois,huile
Et tout cela est arrivé parce que j'étais…..,,,64,49,papier,gouache
Sans titre,8/1/1961,St Enogat,61,38,isorel,huile
Bonne chance,7/1/1960,,41,24,papier sur bois,huile
Jésus est bafoué,,,37,30,papier sur toile,huile
Patiente expectative,7/1/1960,Dinard,33,55,isorel,huile
sans,,Nice?,195,114,toile,huile
Baie des Anges 3 (titre posthume),1/1/1951,Nice,114,195,toile,huile
Provo d'orchestra (titre posthume),11/1/1950,Nice,114,195,toile,huile
La ville la nuit 1,1/1/1951,Nice,195,114,toile,huile
Hommage à Kandinsky (titre posthume),1/1/1960,Nice,195,114,toile,huile
Phenix,2/1/1958,Paris,162,114,toile,huile
Portrait posthume du temps,6/1/1976,,130,89,toile,huile
sans,1/1/1936,La Thibaudière,33,46,toile,huile
Divertissement pour la nuit de janvier,2/1/1955,Fontainebleau,61,46,toile,huile
Hommage à Gustave Courbet,6/1/1965,Paris,38,61,toile,huile
Une vie de chien,6/1/1960,Paris,38,61,toile?,huile
Tête d'un mort illustre qui avait perdu son sens de l'humour,3/1/1969,,37,30,papier sur ?,huile
Blessed Mary,1/1/1970,,34.5,25.5,papier marouflé,
"Sur la route, vers Sallenelles, un ami",4/1/1969,Paris,37,30.5,papier sur toile,huile
Le rêve de Nerval,1/1/1955,Fontainebleau,60,72,toile,huile
Sans titre,5/1/1954,Fontainebleau,65,53.5,toile,huile
Tourbillon,1/1/1960,,53.5,81,toile,huile
Sainte Fabeau,3/1/1955,Fontainebleau,100,81,toile,huile
Nu couché,11/1/1946,?,21,26,papier,crayon
Nu debout - Etude pour Nu aux gratte-ciels,1/1/1947,"Ridgefield, CT",26,21,papier,encre
Nu debout -Etude pour Nu aux gratte-ciels,1/1/1947,"Ridgefield, CT",31,15,papier,gouache
Nu assis - Etude pour Nu de Carnegie Hall,1/1/1947,"Ridgefield, CT",31.5,23,papier,crayon
