Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere,Url
"Chemin de fer",3/1/1950,Nice,100,65,toile,huile,"chemin-de-fer.jpg"
"Clockwork",6/1/1953,Fontainebleau,146,114,toile,huile,"clockwork.jpg"
"Hommage à Kandinsky",1/1/1960,Nice,195,114,toile,huile,"hommage-a-kandinsky.jpg"
"Il dort",20/06/1969,Paris,80.5,65,toile,huile,"il-dort.jpg"
"L’espoir a fui",3/1/1960,,92.5,60,toile,huile,"l-espoir-a-fui.jpg"
"La promesse des fleurs",1/1/1960,,73,92,toile,huile,"la-promesse-des-fleurs.jpg"
"Le rêve de Berganza",2/1/1972,Paris,54.5,81,toile,huile,"le-reve-de-berganza.jpg"
"Oranges et bananes",1/1/1960,Paris,54,65,toile,huile,"oranges-et-bananes.jpg"
"Peinture à l'usage des enfants",3/1/1977,Paris,92,60,toile,huile,"peinture-a-l-usage-des-enfants.jpg"
"Sans titre",8/1/1950,Nice,65,100,toile,huile,"sans-titre-3.jpg"
"Souvenir d’Issenheim",1/1/1960,"Paris, rue de Varenne",60,92,toile,huile,"souvenir-d-issenheim.jpg"
"Souvenir normand",26/7/1972,,46,55,papier sur bois,huile,"souvenir-normand.jpg"
